"","X","Longitude","Latitude","state","MinKm","soil_i_or_is"
"1691",9817,-93.0428314208984,39.8454475402832,"Missouri",4.01341353994582,"201-202"
"1692",9818,-93.6270570755005,39.8454475402832,"Missouri",46.2543110227663,"201-202"
"1693",9819,-94.2112827301025,39.8454475402832,"Missouri",82.6433726115665,"54-55"
"1694",9820,-94.7955083847046,39.8454475402832,"Missouri",76.985122578081,"54-55"
"1695",9821,-95.3797340393066,39.8454475402832,"Kansas",72.8035163140713,"28"
"1696",9822,-95.9639596939087,39.8454475402832,"Kansas",65.5205168623729,"196"
"1697",9823,-96.5481853485107,39.8454475402832,"Kansas",69.3027972387143,"196"
"1698",9824,-97.1324110031128,39.8454475402832,"Kansas",74.1510136146977,"198"
"1699",9825,-97.7166366577148,39.8454475402832,"Kansas",58.8600641757959,"198"
"1700",9826,-98.3008623123169,39.8454475402832,"Kansas",79.9528167136701,"198"
"1701",9827,-98.8850879669189,39.8454475402832,"Kansas",104.411343762666,"221-222"
"1702",9828,-99.469313621521,39.8454475402832,"Kansas",120.018473177783,"221-222"
"1703",9829,-100.053539276123,39.8454475402832,"Kansas",151.574299858086,"221-222"
"1704",9830,-100.637764930725,39.8454475402832,"Kansas",191.343600390593,"221-222"
"1705",9831,-101.221990585327,39.8454475402832,"Kansas",179.79092180861,"200"
"1706",9832,-101.806216239929,39.8454475402832,"Kansas",156.643592922327,"200"
"1707",9833,-102.390441894531,39.8454475402832,"Colorado",147.14904440578,"200"
"1708",9834,-102.974667549133,39.8454475402832,"Colorado",153.856362607402,"200"
"1709",9835,-103.558893203735,39.8454475402832,"Colorado",174.911245375033,"200"
"1710",9836,-104.143118858337,39.8454475402832,"Colorado",182.45468747984,"199"
"1711",9837,-104.727344512939,39.8454475402832,"Colorado",151.653651647858,"180"
"1712",9838,-105.311570167542,39.8454475402832,"Colorado",108.042079429917,"180"
"1713",9839,-105.895795822144,39.8454475402832,"Colorado",73.4056905457273,"180"
"1714",9840,-106.480021476746,39.8454475402832,"Colorado",64.3817410083064,"180"
"1715",9841,-107.064247131348,39.8454475402832,"Colorado",89.1234137757038,"180"
"1716",9842,-107.64847278595,39.8454475402832,"Colorado",129.5459691981,"180"
"1717",9843,-108.232698440552,39.8454475402832,"Colorado",175.106143471989,"180"
"1718",9844,-108.816924095154,39.8454475402832,"Colorado",222.671074363701,"180"
"1719",9845,-109.401149749756,39.8454475402832,"Utah",258.690894928382,"160"
"1720",9846,-109.985375404358,39.8454475402832,"Utah",217.657992628915,"160"
"1721",9847,-110.56960105896,39.8454475402832,"Utah",180.943392917976,"160"
"1722",9848,-111.153826713562,39.8454475402832,"Utah",151.717331672835,"160"
"1723",9849,-111.738052368164,39.8454475402832,"Utah",134.938278887707,"160"
"1724",9850,-112.322278022766,39.8454475402832,"Utah",135.319226477509,"160"
"1725",9851,-112.906503677368,39.8454475402832,"Utah",152.7318108997,"160"
"1726",9852,-113.49072933197,39.8454475402832,"Utah",143.191541701662,"314"
"1727",9853,-114.074954986572,39.8454475402832,"Nevada",103.832139522197,"314"
"1728",9854,-114.659180641174,39.8454475402832,"Nevada",77.5235212349398,"314"
"1729",9855,-115.243406295776,39.8454475402832,"Nevada",78.6789270582427,"314"
"1730",9856,-115.827631950378,39.8454475402832,"Nevada",106.407410652142,"314"
"1731",9857,-116.41185760498,39.8454475402832,"Nevada",146.308457205218,"314"
"1732",9858,-116.996083259583,39.8454475402832,"Nevada",173.326478005318,"313"
"1733",9859,-117.580308914185,39.8454475402832,"Nevada",152.453033377392,"310"
"1734",9860,-118.164534568787,39.8454475402832,"Nevada",107.723964899634,"310"
"1735",9861,-118.748760223389,39.8454475402832,"Nevada",70.7432974747327,"310"
"1736",9862,-119.332985877991,39.8454475402832,"Nevada",58.6744459982906,"310"
"1737",9863,-119.917211532593,39.8454475402832,"Nevada",76.8877437027407,"312"
"1738",9864,-120.501437187195,39.8454475402832,"California",87.1730448133527,"143"
"1739",9865,-121.085662841797,39.8454475402832,"California",90.6637155212124,"143"
"1740",9866,-121.669888496399,39.8454475402832,"California",58.3995004867344,"144-145-146"
"1741",9867,-122.254114151001,39.8454475402832,"California",24.1336283349779,"144-145-146"
"1742",9868,-122.838339805603,39.8454475402832,"California",52.6333012830163,"144-145-146"
"1743",9869,-123.422565460205,39.8454475402832,"California",99.8694440487056,"144-145-146"
"1744",9982,-74.4090270996094,40.2957248687744,"New Jersey",108.532746989031,"309"
"1745",9983,-74.997091293335,40.2957248687744,"Pennsylvania",81.0883898041725,"309"
"1746",9984,-75.5851554870605,40.2957248687744,"Pennsylvania",80.136104498202,"309"
"1747",9985,-76.1732196807861,40.2957248687744,"Pennsylvania",106.389701980682,"309"
"1748",9986,-76.7612838745117,40.2957248687744,"Pennsylvania",107.02016454999,"141"
"1749",9987,-77.3493480682373,40.2957248687744,"Pennsylvania",79.0562224919119,"141"
"1750",9988,-77.9374122619629,40.2957248687744,"Pennsylvania",78.0739212531133,"141"
"1751",9989,-78.5254764556885,40.2957248687744,"Pennsylvania",104.834512080553,"141"
"1752",9990,-79.1135406494141,40.2957248687744,"Pennsylvania",144.685475539107,"141"
"1753",9991,-79.7016048431396,40.2957248687744,"Pennsylvania",189.541395855971,"141"
"1754",9992,-80.2896690368652,40.2957248687744,"Pennsylvania",188.476223698633,"297-298-299"
"1755",9993,-80.8777332305908,40.2957248687744,"Ohio",139.022525625889,"297-298-299"
"1756",9994,-81.4657974243164,40.2957248687744,"Ohio",90.2622968882831,"297-298-299"
"1757",9995,-82.053861618042,40.2957248687744,"Ohio",44.5402748118425,"297-298-299"
"1758",9996,-82.6419258117676,40.2957248687744,"Ohio",28.9343127590005,"297-298-299"
"1759",9997,-83.2299900054932,40.2957248687744,"Ohio",68.6105505546716,"297-298-299"
"1760",9998,-83.8180541992188,40.2957248687744,"Ohio",65.7112634174917,"300-301"
"1761",9999,-84.4061183929443,40.2957248687744,"Ohio",75.5846024419451,"300-301"
"1762",10000,-84.9941825866699,40.2957248687744,"Indiana",52.553724007859,"238"
"1763",10001,-85.5822467803955,40.2957248687744,"Indiana",23.0077938220027,"238"
"1764",10002,-86.1703109741211,40.2957248687744,"Indiana",57.5491111155241,"238"
"1765",10003,-86.7583751678467,40.2957248687744,"Indiana",31.2693334553005,"231"
"1766",10004,-87.3464393615723,40.2957248687744,"Indiana",48.8746317782377,"231"
"1767",10005,-87.9345035552979,40.2957248687744,"Illinois",93.909314026946,"231"
"1768",10006,-88.5225677490234,40.2957248687744,"Illinois",55.0533639696527,"325-326"
"1769",10007,-89.110631942749,40.2957248687744,"Illinois",5.43286195498376,"325-326"
"1770",10008,-89.6986961364746,40.2957248687744,"Illinois",45.0190736235472,"325-326"
"1771",10009,-90.2867603302002,40.2957248687744,"Illinois",34.9371848120766,"329"
"1772",10010,-90.8748245239258,40.2957248687744,"Illinois",36.7967658389393,"330"
"1773",10011,-91.4628887176514,40.2957248687744,"Illinois",41.7477153237753,"87-88-89-90"
"1774",10012,-92.050952911377,40.2957248687744,"Missouri",43.3445795677301,"80-81-82"
"1775",10013,-92.6390171051025,40.2957248687744,"Missouri",52.0696561804734,"80-81-82"
"1776",10014,-93.2270812988281,40.2957248687744,"Missouri",31.235871692842,"57"
"1777",10015,-93.8151454925537,40.2957248687744,"Missouri",40.1837125529452,"57"
"1778",10016,-94.4032096862793,40.2957248687744,"Missouri",30.8321628931668,"54-55"
"1779",10017,-94.9912738800049,40.2957248687744,"Missouri",36.6259783672877,"28"
"1780",10018,-95.5793380737305,40.2957248687744,"Missouri",31.0258393911996,"28"
"1781",10019,-96.1674022674561,40.2957248687744,"Nebraska",12.7017003437356,"196"
"1782",10020,-96.7554664611816,40.2957248687744,"Nebraska",49.1366999466723,"196"
"1783",10021,-97.3435306549072,40.2957248687744,"Nebraska",28.5854070944524,"198"
"1784",10022,-97.9315948486328,40.2957248687744,"Nebraska",24.3434899142961,"198"
"1785",10023,-98.5196590423584,40.2957248687744,"Nebraska",73.2272204837107,"198"
"1786",10024,-99.107723236084,40.2957248687744,"Nebraska",122.986893413971,"198"
"1787",10025,-99.6957874298096,40.2957248687744,"Nebraska",162.97961694582,"197"
"1788",10026,-100.283851623535,40.2957248687744,"Nebraska",197.513766790324,"197"
"1789",10027,-100.871915817261,40.2957248687744,"Nebraska",164.363586990688,"200"
"1790",10028,-101.459980010986,40.2957248687744,"Nebraska",127.698729469637,"200"
"1791",10029,-102.048044204712,40.2957248687744,"Nebraska",102.632051264809,"200"
"1792",10030,-102.636108398438,40.2957248687744,"Colorado",98.461998008402,"200"
"1793",10031,-103.224172592163,40.2957248687744,"Colorado",117.436299500207,"200"
